Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,OperatingSystems,Browser,Region,TrafficType,month,VisitorType,Weekend,Revenue
6.0,83.84896,1.0,59.775845,191.0,5581.9844,0.0020852424,0.013417029,1.2398845,-0.015404584,2.0,2.0,3.0,4.0,Nov,Returning_Visitor,False,False
3.0,159.7708,0.0,14.692545,27.0,1590.3933,0.068168856,0.06286171,-5.3721337,0.001963606,6.0,3.0,7.0,18.0,Dec,Returning_Visitor,False,False
3.0,51.44848,1.0,148.42651,22.0,597.2887,0.023499802,0.034557384,6.223033,-0.02232507,1.0,1.0,6.0,1.0,Nov,Returning_Visitor,False,False
14.0,532.5188,0.0,0.68944776,54.0,1733.8745,-0.00093288894,0.009206933,0.3920013,0.004677141,3.0,2.0,8.0,19.0,Nov,Returning_Visitor,True,False
3.0,59.70179,0.0,7.432812,50.0,2088.7573,0.017923452,0.027663229,1.2357885,0.01307332,2.0,2.0,3.0,4.0,May,Returning_Visitor,False,False
2.0,24.674162,0.0,18.297949,63.0,1935.3329,0.0014931095,0.0057190442,1.2697927,0.0039304327,1.0,1.0,1.0,2.0,Nov,Returning_Visitor,True,False
0.0,0.68612134,0.0,-1.0349213,60.0,1768.5298,0.00091910746,0.01792811,2.5413237,0.0097365435,1.0,1.0,5.0,3.0,May,Returning_Visitor,False,False
6.0,87.872154,1.0,10.639017,30.0,1605.9319,0.0120751,0.029341273,1.9637021,-0.0034005959,2.0,2.0,2.0,2.0,June,Returning_Visitor,False,False
0.0,-3.012014,-0.0,-8.407263,9.0,526.60657,0.0052300617,0.015979478,1.2903415,-0.0040288065,1.0,1.0,4.0,2.0,Nov,Returning_Visitor,False,False
0.0,7.080439,0.0,2.8679564,22.0,418.99033,0.028509194,0.045882072,4.0128007,0.90189964,2.0,2.0,8.0,2.0,May,Returning_Visitor,False,False
-0.0,-7.4497886,1.0,28.24904,32.0,949.59784,0.013716186,0.023901537,2.727059,0.012199191,1.0,2.0,7.0,2.0,Mar,Returning_Visitor,False,False
-0.0,9.629854,-0.0,-7.8514724,11.0,339.88107,0.00753597,0.034558482,0.8033492,-0.010677071,0.0,0.0,1.0,4.0,Nov,Returning_Visitor,False,False
2.0,60.61415,0.0,49.0779,52.0,1877.5287,0.01908397,0.029358651,39.853188,-0.006160395,2.0,1.0,7.0,2.0,Oct,Returning_Visitor,True,False
-0.0,10.251856,1.0,50.919277,76.0,4619.922,0.015362044,0.02786561,0.095730945,0.039204873,2.0,3.0,7.0,2.0,June,Returning_Visitor,False,False
-0.0,-8.315626,-0.0,0.6390861,18.0,1102.2114,-0.0055817496,0.03044996,1.7421142,0.001493985,2.0,6.0,2.0,2.0,Mar,Returning_Visitor,False,False
8.0,302.71936,-0.0,-11.238237,21.0,662.77216,0.030848388,0.049247753,19.838104,-0.005524883,3.0,2.0,8.0,1.0,Dec,Returning_Visitor,False,False
6.0,303.41885,0.0,48.08737,22.0,1808.0775,0.0456085,0.055056732,8.737311,0.006369548,1.0,0.0,5.0,2.0,Mar,Returning_Visitor,False,False
0.0,-5.483579,-0.0,-5.025686,15.0,683.16547,0.0010198449,0.011275829,0.36133257,0.0131078195,1.0,1.0,4.0,4.0,Oct,Returning_Visitor,True,False
1.0,-12.007414,2.0,-0.2871453,22.0,1323.0905,0.0016339888,0.034963187,4.2048016,-0.015075231,1.0,1.0,5.0,3.0,Sep,Returning_Visitor,False,False
-0.0,-1.7092949,0.0,2.9165423,1.0,214.99594,0.24029128,0.23372549,-0.06301434,-0.010676453,3.0,2.0,1.0,1.0,Dec,Returning_Visitor,False,False
0.0,-0.704496,0.0,-2.5479562,6.0,264.00644,0.0049423594,0.046735976,-0.517001,-0.0039010663,3.0,2.0,3.0,2.0,Mar,Returning_Visitor,False,False
1.0,4.88782,0.0,10.062141,20.0,288.1074,-0.00046860977,0.007852917,-0.3218225,-0.01511527,2.0,2.0,1.0,6.0,Mar,Returning_Visitor,False,False
4.0,107.75999,-0.0,-25.966257,5.0,-450.9313,0.03605281,0.06966436,1.6159197,-0.006492557,2.0,6.0,7.0,1.0,Oct,Returning_Visitor,False,False
0.0,8.662897,-0.0,-3.7865884,12.0,617.12085,-0.0026410725,0.0247024,22.93795,0.0006348957,3.0,2.0,7.0,2.0,Mar,New_Visitor,True,False
0.0,2.1131768,-0.0,6.250809,14.0,604.05457,-0.00010043186,0.031933907,1.2187434,-0.0129585955,3.0,2.0,1.0,2.0,Nov,Returning_Visitor,False,False
0.0,-7.3645835,0.0,-4.6848083,5.0,-191.53653,0.12791774,0.14777532,-1.366247,-0.0063542444,2.0,2.0,4.0,2.0,May,Returning_Visitor,False,False
-0.0,-4.5214972,0.0,9.130663,-4.0,170.82504,0.29686603,0.27759704,1.4693357,-0.004980685,2.0,3.0,1.0,1.0,Dec,Returning_Visitor,False,False
8.0,286.44815,1.0,34.884224,15.0,666.08606,0.00924964,0.023639046,2.2687092,0.11348659,1.0,1.0,3.0,4.0,May,New_Visitor,True,False
0.0,12.691172,-0.0,1.4756607,3.0,195.33908,-0.0060803685,0.056261282,3.7689679,0.00067566155,3.0,2.0,1.0,2.0,Feb,Returning_Visitor,False,False
3.0,65.95958,-0.0,-4.6872535,14.0,693.41864,0.0053989924,0.033786513,0.30791965,-0.007839637,2.0,6.0,4.0,2.0,Mar,Returning_Visitor,True,False
1.0,77.34819,-0.0,-25.601618,13.0,360.32144,0.04965468,0.074524134,4.332029,0.0055492427,3.0,2.0,9.0,1.0,Oct,Returning_Visitor,False,False
0.0,16.1412,2.0,66.952484,57.0,2461.4534,0.0021294802,0.034508944,6.428576,-0.02614087,6.0,1.0,1.0,1.0,Dec,Returning_Visitor,False,False
6.0,215.75781,1.0,-2.4431741,37.0,804.4867,0.0030242112,0.012288715,60.664772,-0.020306254,2.0,3.0,2.0,2.0,Sep,Returning_Visitor,False,True
9.0,628.90173,3.0,78.71327,57.0,2538.2976,0.00742305,0.017474547,1.0109202,-0.002533758,3.0,2.0,10.0,3.0,Nov,Returning_Visitor,False,False
6.0,190.85255,3.0,227.76135,68.0,3379.0496,0.01721198,0.027867807,29.796898,-0.0052952785,3.0,2.0,0.0,1.0,Nov,Returning_Visitor,False,True
7.0,51.9633,0.0,-10.17996,29.0,2711.3945,0.024878308,0.05863467,32.807068,-0.008809762,3.0,3.0,5.0,3.0,Nov,Returning_Visitor,False,False
-0.0,-9.571905,-0.0,10.747744,26.0,164.29001,-0.0038800426,0.012420761,0.10681264,0.3791628,1.0,1.0,1.0,2.0,May,Returning_Visitor,False,False
10.0,1086.392,5.0,481.502,131.0,4920.167,0.0054116156,0.014477829,3.6589143,-0.01306841,3.0,2.0,3.0,2.0,Nov,Returning_Visitor,False,False
4.0,116.4247,0.0,2.4097025,25.0,972.861,0.0014680774,0.02994359,29.045437,-0.012091236,2.0,2.0,2.0,4.0,Aug,Returning_Visitor,False,False
8.0,264.31644,0.0,8.316702,20.0,1172.8431,0.002948802,0.018928993,1.3430821,-0.009271355,3.0,4.0,1.0,3.0,Mar,Returning_Visitor,False,False
1.0,31.112513,2.0,247.67868,7.0,32.430874,0.04624675,0.06395015,1.8425485,0.0024543237,1.0,1.0,3.0,3.0,Mar,Returning_Visitor,False,False
-1.0,-14.12023,0.0,-14.565649,4.0,-151.6885,0.1062668,0.14331408,-0.027635887,-0.023998173,2.0,2.0,4.0,1.0,Nov,Returning_Visitor,False,False
11.0,492.33405,1.0,-26.764479,19.0,18.79159,-0.0006374287,0.009444372,23.49016,-0.015428903,2.0,4.0,1.0,3.0,Nov,New_Visitor,False,True
-0.0,-9.534437,0.0,-3.0610597,41.0,1513.4968,0.0023793858,0.013897802,-0.2097729,-0.008234011,2.0,3.0,4.0,2.0,Mar,Returning_Visitor,False,False
7.0,127.90307,3.0,99.970566,21.0,703.18036,0.008892264,0.016008215,3.349854,0.010552591,3.0,2.0,8.0,2.0,Mar,Returning_Visitor,True,False
-0.0,48.15576,5.0,204.79955,6.0,544.47943,0.008090513,0.022947451,0.26701418,0.005049074,2.0,2.0,1.0,2.0,Mar,Returning_Visitor,False,False
1.0,-24.102156,4.0,234.61517,38.0,972.0488,0.019113366,0.03166806,1.6059161,0.89686334,1.0,1.0,1.0,9.0,May,Returning_Visitor,False,False
1.0,18.092402,0.0,7.43026,14.0,626.9184,0.0029450841,0.024798043,-0.6752375,0.012641029,2.0,2.0,1.0,2.0,Nov,New_Visitor,False,False
3.0,24.836477,-0.0,-10.084978,63.0,1376.782,-0.00010977489,0.013510336,-0.31462654,0.67370677,2.0,2.0,7.0,2.0,May,Returning_Visitor,False,False
8.0,490.96832,-0.0,19.741655,71.0,1390.9701,0.0138756875,0.014307364,1.4327608,0.012942148,3.0,2.0,7.0,6.0,Aug,Returning_Visitor,False,False
9.0,277.9961,6.0,246.10704,56.0,1795.51,0.005027177,0.019277873,6.708893,-0.0070178006,1.0,1.0,2.0,3.0,Nov,Returning_Visitor,False,True
1.0,42.99808,2.0,96.49463,39.0,3159.4187,-0.0017544682,0.009789524,6.954289,0.03191631,3.0,3.0,10.0,15.0,Dec,Returning_Visitor,False,False
2.0,10.801279,0.0,-5.736898,8.0,359.8032,0.004095722,0.02424561,2.015164,-0.012066225,2.0,2.0,4.0,3.0,Mar,Returning_Visitor,False,True
3.0,79.9588,-0.0,-5.3596168,34.0,1118.541,0.00032944055,0.01384963,0.21516101,-0.0031131078,1.0,1.0,3.0,2.0,Dec,Returning_Visitor,False,False
-0.0,14.01195,0.0,10.790064,7.0,-126.669716,0.10570799,0.123757236,0.87652606,0.4544896,3.0,2.0,5.0,7.0,May,Returning_Visitor,False,False
-0.0,0.6504692,0.0,-22.34585,10.0,124.452965,0.0059748273,0.02505808,-0.17263396,-0.0048690457,2.0,2.0,4.0,13.0,Mar,Returning_Visitor,False,False
14.0,278.09818,1.0,15.471876,58.0,1494.4336,0.017184928,0.034965374,3.421875,0.2879617,2.0,2.0,1.0,3.0,Mar,Returning_Visitor,False,False
1.0,19.192656,0.0,7.315827,10.0,22.790613,0.04242693,0.053789597,-0.20707734,0.19541638,2.0,2.0,2.0,3.0,May,Returning_Visitor,False,False
1.0,19.160166,-0.0,-11.830915,76.0,3301.1064,0.00917234,0.009774872,6.139157,0.028055323,1.0,1.0,2.0,2.0,Sep,Returning_Visitor,False,True
1.0,21.419973,0.0,3.2635977,6.0,252.02261,-0.0009561273,0.014063555,0.31540123,-0.0002091694,1.0,2.0,1.0,5.0,Oct,New_Visitor,True,False
-0.0,-2.6639304,0.0,0.9993576,12.0,326.44046,0.021261403,0.040479593,1.5977303,0.013092687,3.0,2.0,1.0,9.0,Dec,Returning_Visitor,False,False
0.0,-3.001058,-0.0,-9.938108,13.0,627.29816,0.0068202326,0.029405775,0.48421112,-0.001474196,1.0,2.0,6.0,1.0,Mar,Returning_Visitor,False,False
21.0,290.16162,5.0,397.56424,299.0,11954.144,0.0016253312,0.01668821,17.901466,0.0033393335,2.0,2.0,2.0,3.0,Oct,Returning_Visitor,False,True
0.0,8.508181,0.0,12.769644,18.0,577.2428,0.0023841243,0.02217975,29.343445,0.0015960877,2.0,2.0,5.0,2.0,Mar,Returning_Visitor,False,False
5.0,54.89863,0.0,5.8460984,16.0,705.55005,0.01523157,0.04998844,-1.2205738,-0.00726364,2.0,2.0,1.0,2.0,June,Returning_Visitor,False,False
2.0,54.926296,0.0,2.7830966,9.0,915.5229,0.034935232,0.067106545,-0.76510745,0.004330026,3.0,2.0,6.0,13.0,Mar,Returning_Visitor,False,False
4.0,71.81707,0.0,-0.092427865,35.0,2123.2285,-0.0002797692,0.0048840353,-0.3228682,0.012496984,2.0,5.0,4.0,7.0,Mar,Returning_Visitor,False,False
1.0,22.08631,-0.0,-3.3027093,51.0,3229.5703,0.004190244,0.059141625,0.56906146,0.003928425,2.0,2.0,3.0,9.0,Jul,Returning_Visitor,False,False
7.0,902.2441,-0.0,-15.931154,15.0,762.2083,0.0017875024,0.022895107,2.2984233,-0.0011616702,2.0,3.0,1.0,5.0,May,Returning_Visitor,False,False
-1.0,17.91852,0.0,-2.3413599,76.0,3433.2148,0.00791092,0.010161311,-0.11220534,-0.0071119014,3.0,2.0,4.0,2.0,May,Returning_Visitor,True,False
5.0,17.33706,0.0,3.7496912,23.0,458.75693,0.0038957838,0.026238343,-1.5361875,0.0029712673,1.0,1.0,1.0,2.0,Mar,Returning_Visitor,True,False
7.0,330.90103,3.0,74.36355,47.0,2215.969,0.037959915,0.05429662,-1.5262998,-0.011447357,2.0,2.0,1.0,2.0,Dec,Returning_Visitor,False,False
0.0,6.7193017,0.0,-1.1130844,25.0,1038.171,0.022902666,0.044863023,1.2918831,-0.01370308,2.0,2.0,2.0,6.0,Nov,Returning_Visitor,False,False
4.0,93.45932,0.0,-6.0381293,24.0,691.278,0.004018834,0.014351607,0.98955554,0.004635049,2.0,2.0,2.0,2.0,Mar,Returning_Visitor,False,False
0.0,-0.13561022,0.0,18.513544,25.0,730.49005,0.0082704155,0.016247872,0.2721192,-0.0032568816,1.0,2.0,1.0,4.0,Nov,Returning_Visitor,True,False
1.0,17.411367,0.0,10.844698,31.0,868.0494,-0.0003407876,0.015438634,1.3966361,0.0060245264,2.0,2.0,1.0,2.0,Dec,Returning_Visitor,False,False
11.0,144.58667,0.0,3.138201,93.0,2724.324,0.0034940746,0.01740022,1.9502248,0.12841581,2.0,2.0,1.0,3.0,May,Returning_Visitor,False,False
0.0,-0.19742358,0.0,9.20682,21.0,942.1213,0.002197871,0.014531984,12.280978,0.007658219,2.0,2.0,2.0,2.0,Dec,Returning_Visitor,False,False
0.0,-12.277098,0.0,2.5094607,10.0,386.83218,-0.00017912303,0.04259686,0.7648012,-0.003910044,2.0,2.0,2.0,6.0,Nov,Returning_Visitor,False,False
1.0,16.91572,2.0,23.779827,27.0,1018.2637,0.014420062,0.03650689,25.506718,0.013447775,2.0,2.0,3.0,3.0,Dec,Returning_Visitor,False,False
0.0,15.991434,0.0,-11.414366,20.0,521.5342,0.030566705,0.053382363,1.3172451,0.41075316,2.0,6.0,4.0,2.0,May,Returning_Visitor,False,False
1.0,14.696894,-0.0,-7.162729,11.0,432.01578,-0.0035414863,0.010130708,1.4776403,0.003061382,2.0,2.0,1.0,3.0,Sep,New_Visitor,False,False
2.0,30.811087,0.0,-12.061098,11.0,663.2032,0.00020996491,0.027141027,18.480568,-0.011932077,2.0,2.0,2.0,2.0,May,Returning_Visitor,True,True
-0.0,-17.68485,-0.0,3.8651183,2.0,-253.18228,0.030404693,0.072856285,0.4807612,0.8365465,2.0,5.0,4.0,2.0,May,Returning_Visitor,True,False
8.0,314.27005,3.0,100.83801,90.0,2290.5369,0.005215708,0.008571872,10.208419,-0.0039343555,3.0,2.0,6.0,2.0,Nov,Returning_Visitor,True,False
1.0,-3.2255607,-0.0,-56.974392,-3.0,-614.0163,0.23264018,0.22925504,6.346707,0.29178664,9.0,5.0,3.0,21.0,May,Returning_Visitor,True,False
2.0,35.033504,0.0,-3.6715066,26.0,1631.1111,0.00899897,0.024228357,1.7030355,0.36693335,2.0,2.0,2.0,3.0,May,Returning_Visitor,False,False
0.0,-19.454397,0.0,6.747496,7.0,209.89389,0.005182022,0.020025771,6.827173,0.05066332,1.0,2.0,3.0,4.0,Oct,New_Visitor,False,True
0.0,19.13634,-0.0,1.1474861,5.0,-85.7913,0.002626596,0.06274017,1.0637232,0.005973773,3.0,2.0,5.0,17.0,Nov,Returning_Visitor,False,False
4.0,67.57994,2.0,43.091255,47.0,1546.6744,0.004067339,0.0096437605,2.0210865,0.0009670277,2.0,2.0,3.0,11.0,Nov,New_Visitor,True,False
0.0,7.941973,-0.0,6.5623937,5.0,564.8283,0.027070506,0.1068495,2.2093616,0.016245993,2.0,2.0,1.0,1.0,Mar,Returning_Visitor,False,False
-0.0,8.976625,0.0,2.8351138,40.0,1665.074,0.004816124,0.031006359,0.34585395,-0.01569477,2.0,2.0,2.0,6.0,Nov,Returning_Visitor,True,False
0.0,3.0366158,0.0,-4.7143645,5.0,457.60147,0.10552891,0.12250953,-0.19142134,0.038650285,2.0,2.0,1.0,4.0,Dec,Returning_Visitor,False,False
1.0,45.613007,-0.0,-21.419489,26.0,484.47733,0.0084204795,0.018268755,90.865265,0.01125844,1.0,1.0,6.0,1.0,Dec,Returning_Visitor,False,True
0.0,13.932047,-0.0,-6.885698,4.0,301.8218,0.13183835,0.19313222,0.08526008,0.029218486,3.0,2.0,7.0,6.0,May,Returning_Visitor,True,False
-0.0,0.40626752,0.0,2.0150816,9.0,625.20526,0.019621259,0.038716946,0.38875166,-0.0012151505,1.0,1.0,2.0,2.0,May,Returning_Visitor,False,False
0.0,10.737917,0.0,1.0066131,19.0,1158.0197,0.0056915954,0.023070168,1.2691318,-0.012211153,1.0,1.0,1.0,2.0,Mar,Returning_Visitor,False,False
-0.0,37.904697,1.0,18.973564,73.0,2603.6782,0.013915916,0.025630444,-0.34759125,-0.008315349,1.0,1.0,2.0,2.0,Mar,Returning_Visitor,True,False
-0.0,4.255404,0.0,-4.9939322,19.0,917.9069,0.003159823,0.049855348,1.0338856,0.00092689885,2.0,3.0,2.0,2.0,May,Returning_Visitor,False,False
0.0,103.143005,3.0,135.41585,125.0,2195.7256,0.0050192922,0.0119433,-1.1082858,0.020620087,2.0,1.0,1.0,2.0,Jul,Returning_Visitor,False,False
1.0,57.242657,1.0,39.968422,90.0,4547.903,0.0067708036,0.018853279,7.368656,0.011515448,1.0,1.0,2.0,3.0,Nov,Returning_Visitor,False,True
1.0,130.88805,1.0,11.532299,26.0,2606.6208,-0.0040560104,0.0055770213,3.258166,0.0111439545,2.0,2.0,3.0,3.0,May,Returning_Visitor,False,False
1.0,10.500116,0.0,10.256374,10.0,-92.24503,0.023464069,0.039136853,-0.2961553,0.5383643,2.0,3.0,2.0,6.0,May,Returning_Visitor,False,False
7.0,79.97225,2.0,21.977741,160.0,2689.2483,0.00824119,0.025202116,-2.5953581,-0.020067627,3.0,2.0,1.0,1.0,Aug,Returning_Visitor,False,False
4.0,138.84807,0.0,3.3416502,-1.0,-352.8102,0.007886386,0.037291445,0.47966447,0.010800732,2.0,2.0,4.0,2.0,Dec,Returning_Visitor,False,False
-0.0,-2.7199454,-0.0,9.425201,24.0,734.6227,0.030713994,0.050918993,0.07149474,0.88005054,3.0,2.0,3.0,3.0,May,Returning_Visitor,False,False
13.0,300.16525,4.0,67.74716,62.0,4266.421,0.010478536,0.014993125,17.37443,-0.0101064015,2.0,2.0,2.0,3.0,Oct,New_Visitor,False,True
0.0,3.9301171,-0.0,-1.1493202,-2.0,9.430507,0.15266484,0.16550367,0.20417516,0.012561938,3.0,2.0,1.0,1.0,Nov,Returning_Visitor,True,False
1.0,32.60692,0.0,-4.0869536,6.0,538.3097,0.0061596017,0.035612416,0.025342152,0.0063495543,2.0,2.0,5.0,2.0,Mar,Returning_Visitor,False,False
0.0,-8.809027,0.0,14.051275,3.0,-150.63004,0.10098594,0.121971,1.6446363,0.030493425,3.0,2.0,6.0,7.0,Mar,Returning_Visitor,False,False
3.0,31.216955,-0.0,-12.791677,33.0,1190.8723,-0.0013494286,0.010876809,-0.35424885,0.03203951,1.0,2.0,5.0,3.0,Aug,Returning_Visitor,False,False
-0.0,-17.736753,-0.0,-4.937528,5.0,731.76447,0.031859256,0.07441571,0.6264407,0.66455466,3.0,2.0,1.0,7.0,May,Returning_Visitor,True,False
2.0,34.52659,0.0,-9.898127,0.0,-5.9962516,0.0066126604,0.038698923,-1.5019578,0.01432175,3.0,1.0,2.0,2.0,Dec,New_Visitor,False,False
2.0,103.7194,0.0,14.723627,29.0,438.9561,0.0006824882,0.002768711,-0.13589843,0.0061463844,1.0,1.0,8.0,2.0,Nov,Returning_Visitor,False,False
7.0,70.091286,0.0,27.35774,50.0,3119.5986,-0.0020258483,0.004004528,10.62295,0.007239448,2.0,2.0,4.0,6.0,Dec,Returning_Visitor,False,False
2.0,33.602833,4.0,53.863983,29.0,1315.7892,0.0103084,0.036169033,5.452438,-0.0057807285,2.0,3.0,2.0,3.0,Dec,Returning_Visitor,False,False
0.0,76.14291,2.0,51.51607,82.0,8566.92,0.0062333504,0.01781433,32.86679,0.014667241,1.0,1.0,10.0,1.0,Nov,Returning_Visitor,False,True
-0.0,5.211474,-0.0,6.223994,12.0,306.58646,0.06132306,0.1274595,-2.3372796,0.003061207,2.0,2.0,6.0,13.0,Mar,Returning_Visitor,True,False
4.0,62.300304,2.0,8.889879,32.0,596.55695,0.029661087,0.051244963,16.612995,0.056309532,1.0,1.0,2.0,5.0,Jul,Returning_Visitor,False,True
-1.0,-11.154295,0.0,1.2413467,29.0,358.52988,0.0002156851,0.011948437,1.375188,-0.00035784201,2.0,2.0,1.0,3.0,June,Returning_Visitor,False,False
6.0,60.751556,0.0,13.304865,35.0,359.7424,0.011808344,0.02250823,1.8974797,0.0007358287,2.0,5.0,7.0,2.0,May,Returning_Visitor,False,False
0.0,-11.247976,0.0,5.1335626,16.0,608.33466,0.002260439,0.02632681,-0.370272,-0.01265345,3.0,2.0,1.0,1.0,Mar,Returning_Visitor,False,False
3.0,48.244934,1.0,15.936058,95.0,4303.1787,0.007959191,0.016212797,5.7165985,-0.0072980393,2.0,1.0,9.0,1.0,May,Returning_Visitor,False,False
0.0,3.2851815,-0.0,13.887678,13.0,283.86862,0.020212334,0.030935518,1.0107137,0.0020758715,1.0,1.0,6.0,3.0,Mar,Returning_Visitor,False,False
-0.0,-2.3615851,-0.0,-5.2566695,1.0,347.9832,0.0009823294,0.038678356,2.0504067,0.0003670138,3.0,2.0,1.0,2.0,Nov,Returning_Visitor,False,False
1.0,12.34498,0.0,-0.7138878,5.0,255.97537,0.020796679,0.044298757,-0.402644,-0.004299814,3.0,2.0,2.0,1.0,Mar,Returning_Visitor,False,False
-0.0,4.3172555,0.0,2.3859255,39.0,1483.9325,-0.00023320307,0.009560705,1.919624,0.014159264,2.0,2.0,7.0,3.0,May,Returning_Visitor,False,False
-0.0,-9.740812,-0.0,12.509853,-1.0,-74.57206,0.17786053,0.18898511,-0.8473018,-0.009417856,3.0,2.0,2.0,13.0,Nov,Returning_Visitor,False,False
2.0,54.73841,0.0,2.6704466,18.0,622.42535,0.0018160531,0.013590439,113.41005,-0.021915862,2.0,1.0,1.0,1.0,May,Returning_Visitor,False,True
6.0,103.520195,-0.0,5.893912,16.0,1107.8643,0.0046721287,0.018803164,0.07044713,0.011390356,2.0,2.0,3.0,2.0,Nov,New_Visitor,False,False
2.0,24.182985,0.0,-1.0382477,14.0,208.39432,0.001334943,0.048919875,0.60216254,0.01939808,3.0,2.0,1.0,12.0,Nov,Returning_Visitor,False,False
-0.0,-10.661573,0.0,-12.771822,33.0,761.09204,0.004167514,0.014840803,0.33550373,-0.004916901,3.0,3.0,6.0,2.0,Dec,Returning_Visitor,False,False
2.0,0.26847303,1.0,-12.394255,3.0,82.44906,-0.0011444538,0.026671952,4.0328927,0.014477322,2.0,2.0,2.0,1.0,Jul,Returning_Visitor,False,False
3.0,75.12549,2.0,83.26524,8.0,990.67633,0.032993007,0.065727025,0.16164367,-0.020066889,1.0,1.0,3.0,6.0,Jul,Returning_Visitor,False,True
0.0,6.0691705,-0.0,-10.461477,3.0,192.77951,0.09535201,0.14253253,1.5305444,0.0029154848,3.0,2.0,1.0,2.0,Mar,Returning_Visitor,False,False
2.0,76.43216,0.0,-7.657106,29.0,1496.7753,0.009119067,0.022344049,0.1579005,0.0012313706,2.0,2.0,7.0,2.0,May,Returning_Visitor,True,False
-0.0,0.46672285,0.0,-1.9740769,30.0,2480.0178,0.0077861836,0.028264249,-0.15205415,0.006881872,3.0,2.0,4.0,2.0,Nov,Returning_Visitor,True,False
0.0,-12.200308,1.0,-3.865259,3.0,365.26218,0.0032840576,0.0204286,1.7915264,0.0042853113,2.0,2.0,1.0,9.0,Nov,New_Visitor,False,False
0.0,14.135225,0.0,-9.465456,7.0,984.2441,0.025824271,0.05344734,-0.8810409,-0.012323486,3.0,7.0,2.0,3.0,Dec,Returning_Visitor,False,False
-0.0,-9.676916,-0.0,13.805067,3.0,-29.571081,0.17132838,0.16566736,-1.0082,-0.019500898,2.0,1.0,2.0,19.0,May,Returning_Visitor,False,False
-0.0,1.9056877,0.0,0.6093544,4.0,-57.87589,-0.0005289352,0.09375751,0.8794939,0.37226295,2.0,2.0,4.0,2.0,May,Returning_Visitor,False,False
4.0,40.504684,4.0,432.33478,44.0,1121.9485,0.0059993137,0.015833493,28.95539,0.0039374363,2.0,3.0,5.0,13.0,Oct,Returning_Visitor,False,False
0.0,4.0075097,-0.0,-1.650602,10.0,349.22208,0.012300941,0.095023885,-0.33433613,-0.00083106564,3.0,2.0,4.0,4.0,May,Returning_Visitor,False,False
1.0,-20.742338,0.0,-16.283953,35.0,942.98425,0.008642923,0.0019525557,55.640083,0.014382185,2.0,5.0,1.0,8.0,Nov,New_Visitor,False,False
1.0,0.96464765,-0.0,9.413733,7.0,694.6371,0.08651741,0.11289256,7.4213924,-0.022874514,3.0,4.0,6.0,1.0,Dec,Returning_Visitor,False,False
1.0,8.853167,0.0,8.228294,4.0,104.03414,0.060148053,0.09621469,-0.16984923,-0.00013077067,2.0,2.0,6.0,0.0,Nov,Returning_Visitor,False,False
